bbawamarna:Abaci//Titulaturen	66FT2O2Q5VAWNC4YVHOHOEL2R4
bbawpyramidentexte:〈3. Register〉//PT 142	JPRTHZ7MOFFABMOH35HPTYS3SQ
bbawpyramidentexte:〈3. Register〉//PT 143	RNTPAN2J5RBPJKA6LIY45WRIVM
bbawpyramidentexte:〈3. Register〉//PT 144	NLEQD7R43FGEVLT6XF373GCTCQ
bbawpyramidentexte:〈3. Register〉//PT 145	KKOP7JZJD5GWVN5ACG2ALTEZRU
bbawpyramidentexte:〈3. Register〉//PT 146	QETXPIIUF5AHVJLIGQIX3FAYKQ
bbawpyramidentexte:〈3. Register〉//PT 147	CEWKEVWY2ZEKRPCKTQXBWEOHM4
bbawpyramidentexte:〈3. Register〉//PT 148	RXLVEMG7H5GS3PPZYODORKYH4U
bbawpyramidentexte:〈3. Register〉//PT 149	GWA7BAQC5ZFE5MOVSIDRPBAZTQ
bbawpyramidentexte:〈3. Register〉//PT 150	VHYFOQBBPVEN7HZNQQVYME4NLI
bbawpyramidentexte:〈3. Register〉//PT 151	MOIVSIRISRFRJBIY7Z2A7KPGB4
bbawpyramidentexte:〈3. Register〉//PT 152	KCUBLV4JOJAKDGI2O3TETGLBGQ
bbawpyramidentexte:〈3. Register〉//PT 153	UUHDXXDTG5G2RK6LKV4CAK3GSQ
bbawpyramidentexte:〈3. Register〉//PT 154	ICFSTLFJ65GBXIVQTOGUW7XNKU
bbawpyramidentexte:〈3. Register〉//PT 155	VEUVAJZNKJAEXBC252IOSZ3Y2A
bbawpyramidentexte:〈3. Register〉//PT 156	RRHOIIQPOVD7HJ2MVQTSRICQOM
bbawpyramidentexte:〈3. Register〉//PT 157	QTPOBRSUINFDRKEYCQTFEF4Z6Q
bbawpyramidentexte:〈3. Register〉//PT 158	Z4USDCPXK5FUPHIL67PM2XRV6A
bbawpyramidentexte:〈3. Register〉//PT 159	PAZ4GDTR7REZ5KRV4XL3CW54UU
bbawpyramidentexte:〈3. Register〉//PT 160	V5IYRPSUQZA4FOSYE4W5PWI6IQ
bbawpyramidentexte:〈3. Register〉//PT 161	XW5MGCGA45CLFEFLJHFX2LH7WQ
bbawpyramidentexte:〈3. Register〉//PT 162	FD4OHX3XOZEX3CM7JOR2KIDWXI
bbawpyramidentexte:〈3. Register〉//PT 163	KPOY5ZRY7JAFXKW2SBEKEZO4BE
bbawpyramidentexte:〈3. Register〉//PT 164	OQUAWSQTV5GR3BMZJTT2PGKZAY
bbawpyramidentexte:〈3. Register〉//PT 165	Z6477LEWGRG25JSVFDAGEPGBKU
bbawpyramidentexte:〈3. Register〉//PT 166	DKGQSDZP2VBUBBAA55BV4G3E3Q
bbawpyramidentexte:〈3. Register〉//PT 167	TB3OFJQTSJDNLNTJFIHZWWZR5I
bbawpyramidentexte:〈3. Register〉//PT 168	LGYU6IWSMJEGJDXFRQQ3GC6TQI
bbawpyramidentexte:〈3. Register〉//PT 169	NJTORSYA2VFEXLP7SVRQD4A3XE
bbawpyramidentexte:〈3. Register〉//PT 170	UDWYNNJZVJFKLOTJYJD5IIXBKA
bbawpyramidentexte:〈3. Register〉//PT 171	HSCY6QF2HFGZZFNMY2VRZNNECE
bbawpyramidentexte:〈3. Register〉//PT 199	OLNUCWCHK5G6XF5LLPRA45TTPQ
bbawpyramidentexte:〈3. Register〉//PT 223	Y4WLG54VG5BOXHPT5M234Q5KFU
bbawpyramidentexte:〈3. Register〉//PT 224	Z32G47B5RJHN3LSTTVF2VJLRLY
bbawpyramidentexte:〈3. Register〉//PT 225	VG3ELVYCGFCBBOHLATYKF7H24E
bbawpyramidentexte:〈3. Register〉//PT 23	YXD75JDIOVAMRJM5I2BKLWYXTI
bbawpyramidentexte:〈3. Register〉//PT 244	PLA5D6YI2VEANGVJUUZZBCZILQ
bbawpyramidentexte:〈3. Register〉//PT 25	RAGN3JSNKREI7OCEHRIZJCLSEU
bbawpyramidentexte:〈3. Register〉//PT 32	UTPXVO4EJBBJLE74Y2OQQYW5LY
bbawpyramidentexte:〈3. Register〉//PT 658A	7CH5RAVBRBGFDJQOZYSQWTYRXE
bbawpyramidentexte:〈3. Register〉//PT Nt 358-369	VTYIFZSTPBAVXCAQKBA7UUROEQ
bbawpyramidentexte:〈3. Register〉//PT Nt 370-375	JJHYD2XM5VDX5PAYCUZQOJWNX4
bbawpyramidentexte:〈3. Register〉//PT P/F/Ne III 87-99	JLTQW56MUVFV7AOFCRCLRBADPU
bbawpyramidentexte:〈3. Register〉//Überschrift zu PT 223	YS22L7RR3JDBJMKEU6DXUIDUB4
bbawpyramidentexte:〈3. Register〉//Überschrift zu PT 224	VDFGQEZVDJB7XD6ZHTAEVW5IKU
bbawpyramidentexte:〈3. Register〉//Überschrift zu PT 225	DXTR5IZR5BCJXN3DH6L23DA2ZE
bbawpyramidentexte:〈3. Register〉//Überschrift zu PT 658A	LTSZFCE2ZNAYLM3EMPG6ADUWUU
bbawpyramidentexte:〈4. Register〉//PT 1015	4CL2PM6HWFBPTMG5R3FEON26LA
bbawpyramidentexte:〈4. Register〉//PT 1016	VVG5HDM76ZAOTPVDREZSP75PIQ
bbawpyramidentexte:〈4. Register〉//PT 1017	3XYUP3T3J5GP3LSLIPYNDMLNIY
bbawpyramidentexte:〈4. Register〉//PT 1018	KIQTOINKQBGHFEYHIVFQBIL5AE
bbawpyramidentexte:〈4. Register〉//PT 1019	H3YWZQVGRZHFZBXPSKBVBYFRQM
bbawpyramidentexte:〈4. Register〉//PT 1020	EOIYIPJBRRHDRMQO7RC3A3HHM4
bbawpyramidentexte:〈4. Register〉//PT 1021	DK2SSSYZLVEJ7MJTLIECHDOFVU
bbawpyramidentexte:〈4. Register〉//PT 1022	RIQQPBGW25DK7G5EC3S5ECEMTU
bbawpyramidentexte:〈4. Register〉//PT 106	L76MBEL3H5GTFAQQBDB6OEDKOQ
bbawpyramidentexte:〈4. Register〉//PT 107	T45JOBH7GFHUJJT47CDLAISKMQ
bbawpyramidentexte:〈4. Register〉//PT 173	SJ3CEWEQI5HSLHVHZKKC6HVHZU
bbawpyramidentexte:〈4. Register〉//PT 174	SXRWJZ2TRZFFBIEZX5YATNOGWI
bbawpyramidentexte:〈4. Register〉//PT 175	4XW3SDLDDRHCDLSAJB7AUKVCMM
bbawpyramidentexte:〈4. Register〉//PT 176	QUK6VJRPVFHUNI4SZCLYM4UQIA
bbawpyramidentexte:〈4. Register〉//PT 177	3XGYNMYR4NCKLAAANGXLMVLZ5I
bbawpyramidentexte:〈4. Register〉//PT 178	S3ASOVYQDNHT7MF534LLYFI4FY
bbawpyramidentexte:〈4. Register〉//PT 179	TABH6JBROJC37DVVMCMV3IETWE
bbawpyramidentexte:〈4. Register〉//PT 180	B274544VEJASFBMCXHG6DUQSCY
bbawpyramidentexte:〈4. Register〉//PT 181	5R4QMAFZXVF2ZOVK6KSKD7F3GQ
bbawpyramidentexte:〈4. Register〉//PT 182	GCTI3NDZJNDNVE46X3AEESXGUI
bbawpyramidentexte:〈4. Register〉//PT 183	EXYKJ6RD6REW3LE4OGX5TGLMT4
bbawpyramidentexte:〈4. Register〉//PT 184	WMQ5OLRRXZETDKCL4E5UPE3DJU
bbawpyramidentexte:〈4. Register〉//PT 185	7BDHG3S75RF4PN2NYM5LZAOW3A
bbawpyramidentexte:〈4. Register〉//PT 186	7ONRYIO3U5C3NFKBSHG3H6XAGE
bbawpyramidentexte:〈4. Register〉//PT 187	XT4XRCJD75EA3A2V3OIL56LKEY
bbawpyramidentexte:〈4. Register〉//PT 188	BYOT3ZSKYNCXNLIEUF6TFZHAHM
bbawpyramidentexte:〈4. Register〉//PT 189	A7PAEFO5VJCNVJZ5RDYZVJHDRE
bbawpyramidentexte:〈4. Register〉//PT 190	DOXMD4WB4NCJDGN4B3IQTSC6IQ
bbawpyramidentexte:〈4. Register〉//PT 191	SWGZ42X3SRHA7GNRRXUXRIJECI
bbawpyramidentexte:〈4. Register〉//PT 192	AY2YJ266ZBALBDIBHYLSK5YT3E
bbawpyramidentexte:〈4. Register〉//PT 193	EYVAXSUKMZCNTEBO57QMTCJDVU
bbawpyramidentexte:〈4. Register〉//PT 194	VQCN3PATGJBQXCEKJGOXDGSKXU
bbawpyramidentexte:〈4. Register〉//PT 195	7CPNLZNAIBCODO4ZI4NJGMZI6A
bbawpyramidentexte:〈4. Register〉//PT 196	NAHBJ57HJRAVXJNJSELANQPIGA
bbawpyramidentexte:〈4. Register〉//PT 197	FO2HR3DA7ZGHXMUJ7I4X5K336Y
bbawpyramidentexte:〈4. Register〉//PT 198	6UZ4BGQ7WJAIDAZJJKY4ENKI5M
bbawpyramidentexte:〈4. Register〉//PT 57B-J/PT 71D	HUSP42KYTRAPDBDQBPOXZNMO7Q
bbawpyramidentexte:〈4. Register〉//PT 592	Z25OVNE26VGZDATFUPVCCTGFFY
bbawpyramidentexte:〈4. Register〉//PT 660	H6XT4XQHONDLPIJNF2KRTC4CA4
bbawpyramidentexte:〈4. Register〉//PT 68(?)	6EF7GYAKIFCSZHVMDX3PMGTDTA
bbawpyramidentexte:〈4. Register〉//PT 715A/PT 634A	CMNTYDJKUVBU5IJELCN3IJOCC4
bbawpyramidentexte:〈4. Register〉//PT 71B	5UFVKGX6ABF5PI6AICVLOZCELM
bbawpyramidentexte:〈4. Register〉//PT 71C	DABSGCMKJ5HOTDGO6MVWEUGMQU
bbawpyramidentexte:〈4. Register〉//PT 71D	IHHWTBPKQBDKRK6BP5PSLSE77E
bbawpyramidentexte:〈4. Register〉//PT 71E	Y5LJVBQJIJGTRHIE5QNMPDEUGY
bbawpyramidentexte:〈4. Register〉//PT 71F	HANVREO26FGHVF36DHPHYZKNTE
bbawpyramidentexte:〈4. Register〉//PT 71G	OF7AGK4IYVBUPCCCIVAH5YM46E
bbawpyramidentexte:〈4. Register〉//PT 71H	LTOCKJ4ZJNEYXJEEISVFFHZ2FU
bbawpyramidentexte:〈4. Register〉//PT 71I	O6KICW3GXJEENMKDPYJINFNQMI
bbawpyramidentexte:〈4. Register〉//PT 71J	GGYK6NVDERH3RJ73J72HEIT5IM
bbawpyramidentexte:〈4. Register〉//PT Aba 587-602	X7KEKR4EKJCDJIKU6ATBJRV7YQ
bbawpyramidentexte:〈4. Register〉//PT P/F/Ne IV 51-55	A5R5GDODGZH4LNPVSBM6IGFUJI
bbawpyramidentexte:〈4. Register〉//PT P/F/Ne IV 56	CQAMEDUD6BDXJJVKNY4QX23I4M
bbawpyramidentexte:〈4. Register〉//PT P/F/Ne IV 57	GAM466PB45BUVC6UNTZ6ICYWHE
bbawpyramidentexte:〈4. Register〉//PT P/F/Ne IV 87	KHBXSVUPXVAKPLLVRQVDT4XBBM
bbawpyramidentexte:〈4. Register〉//PT P/F/Ne IV 88	QCMJDRG64JBZDIIBGHDHFDDAVU
bbawpyramidentexte:〈4. Register〉//Überschrift (zu P/F/Ne IV 51-56 (?))	TO73OZFJ7VE67ELLEGJ3C3XC5E
bbawpyramidentexte:〈4. Register〉//Überschrift (zu P/F/Ne IV 87-88)	XHTV3X5K2JCO5K2HXBGXQJXOBQ
bbawpyramidentexte:〈4. Register〉//Überschrift (zu P/F/Ne IV 99-100)	QXXJEEKM7FEJDDUVMIYESLTYSA
bbawpyramidentexte:〈4. Register〉//Überschrift zu PT 66-70 (?)	WGQGHGXL6NC7VNJVV7OR2UZBYY
bbawpyramidentexte:〈4. Register〉//Überschrift zu PT 71A(?)-G	44Q2X2C6JRGLDMCDJZ24CNDC6A
bbawpyramidentexte:〈4. Register〉//Überschrift(en) (zu P/F/Ne IV 58-72)	L2CS3K2JWFFMJGZRI3D72S5JQI
bbawpyramidentexte:〈5. Register〉//Beischrift zu PT 57K+L	PUT3GL3JMJGJLPHJAIKXW5MSCM
bbawpyramidentexte:〈5. Register〉//Beischrift zu PT 64-67	MV4NA5CUWFGFLISBHD6MCPNQI4
bbawpyramidentexte:〈5. Register〉//PT 125	65NCWS4OWBAOTIKXTUVDSMR4BQ
bbawpyramidentexte:〈5. Register〉//PT 126	TYKFIZN4URH25PEM42A566RLUE
bbawpyramidentexte:〈5. Register〉//PT 127	RIHYIBCQZFFJTIEDIWZZPMQDNY
bbawpyramidentexte:〈5. Register〉//PT 128	55OLPWOK3JENHHDEERTRD2WRIY
bbawpyramidentexte:〈5. Register〉//PT 129	BPYHKTF5NJAZZHHVHOTSTQO2GQ
bbawpyramidentexte:〈5. Register〉//PT 130	JQES7FTZA5FNFNMVTKQDXMILQA
bbawpyramidentexte:〈5. Register〉//PT 131	O3BBL7GEIZCJFG6DXFQDRSSCGE
bbawpyramidentexte:〈5. Register〉//PT 132	NNHTMGWOFJGCRK2WPIOBAHHJWY
bbawpyramidentexte:〈5. Register〉//PT 133	UIXF5O5ZOBGS3E5DPFOKSCFGLQ
bbawpyramidentexte:〈5. Register〉//PT 134	4ZMD3P5UVNCTXNCNA5WQPSL6BE
bbawpyramidentexte:〈5. Register〉//PT 135	KFYU4UW7QZF6TEQ4EOBM6W73AQ
bbawpyramidentexte:〈5. Register〉//PT 136	S2UNWV6WJZDJJMBEVWQ4VPP72Q
bbawpyramidentexte:〈5. Register〉//PT 138	N3QF75PLHBB4FKD2CQ24ACXI44
bbawpyramidentexte:〈5. Register〉//PT 144	QUSYVS4NFRANFNAZR6RRQJ463E
bbawpyramidentexte:〈5. Register〉//PT 145	4EGF5YL2G5H3JINNQN6JOM2X2M
bbawpyramidentexte:〈5. Register〉//PT 146	KAKYP7UYPNDBJCY7WUEWEIQ57M
bbawpyramidentexte:〈5. Register〉//PT 148	2D7ZBC6QFJFP3FWJBOOJ3LG7OA
bbawpyramidentexte:〈5. Register〉//PT 149	2YTLH7LWTREXXL2Q7NZNHLU4BQ
bbawpyramidentexte:〈5. Register〉//PT 150	N6SLXL54UFBE3GPCWSJQT2CAJI
bbawpyramidentexte:〈5. Register〉//PT 151	O23DJIXOYNE2DKY65TULN3XX2M
bbawpyramidentexte:〈5. Register〉//PT 152	JBBJKNM5TJEXHJNULV3R6JFSQM
bbawpyramidentexte:〈5. Register〉//PT 153	B5WIK43LT5HCPEDF5HCRO55FBA
bbawpyramidentexte:〈5. Register〉//PT 154	CDB6RSK4B5HZLJPSNN3P7F4KWQ
bbawpyramidentexte:〈5. Register〉//PT 155	PUDYKSUPCBDZRLOWJJZHP3AHH4
bbawpyramidentexte:〈5. Register〉//PT 156	AGINJEXTEZDKXI2OCD3CYRMIL4
bbawpyramidentexte:〈5. Register〉//PT 157	AMM343V74JHORORX4BS2DZQBII
bbawpyramidentexte:〈5. Register〉//PT 158	KVPSA3E4WRFPTHAPP3HLDWM7NY
bbawpyramidentexte:〈5. Register〉//PT 159	P5VYUFN67FFETMXYO24P7RYDUM
bbawpyramidentexte:〈5. Register〉//PT 160	LRBXOFURSFBJBH4JMVX3CLRUGA
bbawpyramidentexte:〈5. Register〉//PT 161	BTEZJW65KVF2BLMFNPNWPUFLWQ
bbawpyramidentexte:〈5. Register〉//PT 162	WGRLOBLZZZF7NFEAOHEVZD3XEE
bbawpyramidentexte:〈5. Register〉//PT 163	5SUKNKLC65E7VDWK5DZFQPRCSY
bbawpyramidentexte:〈5. Register〉//PT 172	RDKJKVXGFVEYXFO5X665DQG63U
bbawpyramidentexte:〈5. Register〉//PT 173	YRZ5KPNI2RFUPIDQBHRSOR72A4
bbawpyramidentexte:〈5. Register〉//PT 174	VU2VDFCG4VBV3AR4RS2CPFWC5M
bbawpyramidentexte:〈5. Register〉//PT 175	MAOK37CJ4VEG5KYXMQTX7Q3XN4
bbawpyramidentexte:〈5. Register〉//PT 176	MMYU3RLVJBHOFI42AJQ6U2EHKA
bbawpyramidentexte:〈5. Register〉//PT 177	SZ45OYYI7ZDW7OZBYKTJF2C2I4
bbawpyramidentexte:〈5. Register〉//PT 178	VQFTSQ6N6BH7FIQUZNNWYO2LTE
bbawpyramidentexte:〈5. Register〉//PT 179	SO2C74RZQ5FYBIM7YEM2PYO72Q
bbawpyramidentexte:〈5. Register〉//PT 180	YTHL4O372FC6VPYH5CP2YX3EOE
bbawpyramidentexte:〈5. Register〉//PT 181	I7ERUD5NOFFGXGCTH67TB72CIU
bbawpyramidentexte:〈5. Register〉//PT 182	XGPOMC3V3VDNRIJYFF7XGNNEYE
bbawpyramidentexte:〈5. Register〉//PT 183	3F4MRVALNZE7XJVSZUBAAXDWRA
bbawpyramidentexte:〈5. Register〉//PT 184	M2DNTTGLUFFTJHQC7QAS7KDY54
bbawpyramidentexte:〈5. Register〉//PT 185	Q3U7J7NOCZBQLDZAFX25BPNWAE
bbawpyramidentexte:〈5. Register〉//PT 186	B5RRNGHMCJFFDAM6C24XAEVI2Y
bbawpyramidentexte:〈5. Register〉//PT 187	LMO7SD6SCBFE3PTUJHGEE2QZ5Y
bbawpyramidentexte:〈5. Register〉//PT 188	H7YOT6WF4FD4NF4EJ5V76WN7QE
bbawpyramidentexte:〈5. Register〉//PT 189	IFCG6J4ZQZAD3DYL5MXUPXTP7M
bbawpyramidentexte:〈5. Register〉//PT 190	KAWR3XTFJREMZGDWVUQ4ZJJMU4
bbawpyramidentexte:〈5. Register〉//PT 191	XL7M5N5MSFBOXNL3VVIBEKGEDU
bbawpyramidentexte:〈5. Register〉//PT 192	ZL3V45I3WNBEPMMFDHWYIAO5FU
bbawpyramidentexte:〈5. Register〉//PT 193	T7DSOKUZ3ZF4PK7BSL224NLGJY
bbawpyramidentexte:〈5. Register〉//PT 194	2YO7KHYI3RETBEZEICKSUCYCNA
bbawpyramidentexte:〈5. Register〉//PT 195	7SXNLHB7DRAMTBBEY2ZCAMVSWA
bbawpyramidentexte:〈5. Register〉//PT 196	QGS7P2UM3VBZJODNLWDHFBLZLU
bbawpyramidentexte:〈5. Register〉//PT 197	JYW4MNYICVBIJLQU2VMOAWV5LI
bbawpyramidentexte:〈5. Register〉//PT 198	73UWL4LOFVG3TPMGB5MEYIYFX4
bbawpyramidentexte:〈5. Register〉//PT 199	X4IJSAARXBFNHA65GAIE4V5BRM
bbawpyramidentexte:〈5. Register〉//PT 223	QD5MCUNJMBHWFLOGHDP5Z6AL2I
bbawpyramidentexte:〈5. Register〉//PT 224	K4A7RVC7QJAJ7HXFLGC2ESKEJQ
bbawpyramidentexte:〈5. Register〉//PT 225	S4VMG25DZJEXXNX3LNNJ2ZKECA
bbawpyramidentexte:〈5. Register〉//PT 32	UGAOVPTDM5GWDLKIVPZKBVS2J4
bbawpyramidentexte:〈5. Register〉//PT 33	UZZTXPCZS5E4PKHRSRTGQZZBC4
bbawpyramidentexte:〈5. Register〉//PT 57K	HZGRUBODIFAUBKWCV6QEJWHSVE
bbawpyramidentexte:〈5. Register〉//PT 57L	VRWLFISAYNGB3JHKHEZ2JKTLTA
bbawpyramidentexte:〈5. Register〉//PT 57M	4EIUR5SRUBENNJGFLYDKLH2BNY
bbawpyramidentexte:〈5. Register〉//PT 58	O5WVMDEYXFCRVJIHIKYCF4ASZI
bbawpyramidentexte:〈5. Register〉//PT 59	ZLLZFQ63B5FE5BF2R5MBY77UZE
bbawpyramidentexte:〈5. Register〉//PT 61	M6UD5IGIKZHBPH3J2HMBMCMUJE
bbawpyramidentexte:〈5. Register〉//PT 62	DSHAUMXODZET3CMM7KAXKOSUCI
bbawpyramidentexte:〈5. Register〉//PT 64	SBE4PQHXWNGSHOS7A4S5MP53YQ
bbawpyramidentexte:〈5. Register〉//PT 642	LYLJT4TOBJFHZLWNJ3Y7KLNVRM
bbawpyramidentexte:〈5. Register〉//PT 643A	U7SCHXD3JFHJRLGWKZKAWKHYFQ
bbawpyramidentexte:〈5. Register〉//PT 643B	RG5YG4SMQBEFNOF5WDQ2TZWCHU
bbawpyramidentexte:〈5. Register〉//PT 644	VMI2KSK44BEJLIMLGFM4TCJKMQ
bbawpyramidentexte:〈5. Register〉//PT 645	2NTWTPP2XRCHZNO7RXYNZC7TXA
bbawpyramidentexte:〈5. Register〉//PT 646	5LAQSQ4FRNGKRINVOIXXB4RACU
bbawpyramidentexte:〈5. Register〉//PT 647	VUYMXJ4BHNAVLBPTRNU6SFUIVA
bbawpyramidentexte:〈5. Register〉//PT 648	J2SUWCZKJNAD7HRRYRFLZHPXLQ
bbawpyramidentexte:〈5. Register〉//PT 649	SRPREUZADNGFFADDEQLWMYNWTA
bbawpyramidentexte:〈5. Register〉//PT 65	6ESCBCL3KBAGJPCTRKAJHWKFXY
bbawpyramidentexte:〈5. Register〉//PT 650	CETDWCUHGZBI3CXUUU5J5SGC3I
bbawpyramidentexte:〈5. Register〉//PT 651	K6TNUEANNBDM3KNMHU7GZXYYZU
bbawpyramidentexte:〈5. Register〉//PT 652	VDMCCNCDINDJTOT7OODYHFXGCI
bbawpyramidentexte:〈5. Register〉//PT 653A	OI2XGBLHYNCDJCT42QPBQ6VSWY
bbawpyramidentexte:〈5. Register〉//PT 653B	IJDNZSW5CBCZFLC46BWMKOKJAE
bbawpyramidentexte:〈5. Register〉//PT 653C	C5FG7J4GQVDOJG2XII7WEZNX7E
bbawpyramidentexte:〈5. Register〉//PT 66	X7LZ4LPX4FHP7M6ADY5Q6DIUO4
bbawpyramidentexte:〈5. Register〉//PT 67	CQOSSD6GUJDOXMGU5HZYS4U4RI
bbawpyramidentexte:〈5. Register〉//PT 68	IDQZDHCZYZD7RJUTP7CDPUU75Q
bbawpyramidentexte:〈5. Register〉//PT 69	74HGH77UCBA5XMAFTEKMTY7T3A
bbawpyramidentexte:〈5. Register〉//PT 70	JNDEC5WVPRE6DNL5THWYMFIQEQ
bbawpyramidentexte:〈5. Register〉//PT 71A	CRAHOADDJFAG5O3KNKDGQEKORM
bbawpyramidentexte:〈5. Register〉//PT 71B	7M7354VPQRBC3ONR4HGK4SJ34E
bbawpyramidentexte:〈5. Register〉//PT 71C	YVQCVQ6SF5CKRAJEFHFSJNONEE
bbawpyramidentexte:〈5. Register〉//PT 71D	75WBHXGWWJCRLF5FE5UF4S2KTU
bbawpyramidentexte:〈5. Register〉//PT 71E	4OC3UEZ5XNDYLIUGEWYJAWKZ2A
bbawpyramidentexte:〈5. Register〉//PT 71F	OFRGP7ILARA5NJN4FQP5HHMCZ4
bbawpyramidentexte:〈5. Register〉//PT 71G	F63LWHCR7ZBLNDW7SRQFRBRRLQ
bbawpyramidentexte:〈5. Register〉//PT 71H	3SOV2LR77FCIPPQ4GH5RN27YBY
bbawpyramidentexte:〈5. Register〉//PT 71I	P3DC7DK32JGKNFAO4OGVNTMNMQ
bbawpyramidentexte:〈5. Register〉//PT 71J	PRV26XGYZRDGJMXMEAYJDCF2EU
bbawpyramidentexte:〈5. Register〉//PT Nt/F/Ne AV 13 = 305	TF4Q6LEDERHY3NJWQUWBY3T77Y
bbawpyramidentexte:〈5. Register〉//PT P/F/Ne V 1-6	QLZB2RLOT5HEXKH5JL6SLM2JL4
bbawpyramidentexte:〈5. Register〉//PT P/F/Ne V 71-73	DG3MCG257VGXHG6IK7KQPC7PDY
bbawpyramidentexte:〈5. Register〉//PT P/F/Ne V 94	JXBRILDDJNHMFGPPURQSR5NMTQ
bbawpyramidentexte:〈5. Register〉//PT P/F/Ne V 95	34DLL7FBRFHA3EXP62BK7DYW7E
bbawpyramidentexte:〈5. Register〉//PT P/F/Ne V 96	IIOLHZGXY5F37MSJ7XOMEM4JRY
bbawpyramidentexte:〈5. Register〉//PT P/F/Ne V 97	B7XKHIBIRVCD7FOAOYOL22V53Y
bbawpyramidentexte:〈5. Register〉//PT P/F/Ne V 98	LGERA6QCCVBBLDSALKBRIWPT3Y
bbawpyramidentexte:〈5. Register〉//PT P/F/Ne V 99-100	P7X4J3C6AVFRZK7LC2WSXU2S4Q
bbawpyramidentexte:〈5. Register〉//Überschrift (zu P/F/Ne V 94 (?)-96)	VM2KUEJHLRBBJG6O5SG7QZYFRY
bbawpyramidentexte:〈5. Register〉//Überschrift (zu P/F/Ne V 97)	PFTEIUVJM5E7NO6R4ABTVFO5QI
bbawpyramidentexte:〈5. Register〉//Überschrift (zu P/F/Ne V 98)	QVC3I4NY5FHNVFPGN3DBLQ6ECI
bbawpyramidentexte:〈A (horizontal)〉//PT 369	WKF3CYF23JALTMCEYC3CDBBARE
bbawpyramidentexte:〈A (horizontal)〉//PT 429(?)	5OA6YH4K6BFFLPWPBP3I6ZQRMQ
bbawpyramidentexte:〈A (horizontal)〉//PT 535	S5GUSJ2BQZFPNKNNTMW4XHGQNQ
bbawpyramidentexte:〈A (horizontal)〉//PT P/F/Sw A 1	XETY6QYBTZBIFBGTDA7AE4WTRQ
bbawpyramidentexte:〈Boden〉//PT 3	LQKJRGLKD5GNLEQE2NEDLAKBN4
bbawpyramidentexte:〈B〉//PT 268	6OLMBAGQX5CEHDMLGPXB7V635E
bbawpyramidentexte:〈B〉//PT 326(?)	FWSZMF3CDVBLJPFGYOW5GOG3KM
bbawpyramidentexte:〈B〉//PT 327	FOVQGEE3DRGBZMM7AJR6PZQKG4
bbawpyramidentexte:〈B〉//PT 412	WAJO5XHL7NBWLOB75FU36S3TOA
bbawpyramidentexte:〈B〉//PT 625A	S5WQRSX3XBEXNHYPUMVYB5GF2Y
bbawpyramidentexte:〈B〉//PT 628(?)	UIJQIMCOJBDQTONSKDZW5SASII
bbawpyramidentexte:〈B〉//PT 629	5YH6OXQ6QVCPDIIKGWDQF3EGHQ
bbawpyramidentexte:〈B〉//PT 630(?)	HXHRYUH5PJGOFDSHGEJLOEQ2YI
bbawpyramidentexte:〈B〉//PT 631(?)	GTLZL7ABAJAZZIBCPOCT46JIGI
bbawpyramidentexte:〈B〉//PT 665C(?)/PT 716A	27EUPYFB3BHJNOLFGEBK2JR3OQ
bbawpyramidentexte:〈B〉//PT 665D(?)	YNNRIHIBQZH45KWJURUS2RDU5U
bbawpyramidentexte:〈B〉//PT 670	DL53TCY6LVCCPPQVVR33RUTKPY
bbawpyramidentexte:〈B〉//PT 719	CF3HQVQO4RHGDO7LSSAVKC722M
bbawpyramidentexte:〈B〉//PT 81	BR3M3PNJ4VFFHOXOJOOMUQNEH4
bbawpyramidentexte:〈B〉//PT P/F/Nw B 21(?)-33	PWA2DS5UKRBRXJSMD7OPM33B6U
bbawpyramidentexte:〈B〉//PT P/F/Nw B 36-40	DQO2VDILS5CYZNNBV6UIVLY4IA
bbawpyramidentexte:〈C〉//PT 327	3I4HT7I2ZBES5DMYLQYNZMAO4Q
bbawpyramidentexte:〈C〉//PT 364	ECLPQWIHH5HQZAZQDBXI7TAGZA
bbawpyramidentexte:〈C〉//PT 592	INRFQ3NT55F3BCN64HF3PUYNQQ
bbawpyramidentexte:〈C〉//PT 628	Q3IOXWAYQJDJJPU25EFQ24RT2U
bbawpyramidentexte:〈C〉//PT 629	YDSKAIFRUZDBRHWG7ULWNAUV7I
bbawpyramidentexte:〈C〉//PT 630	SDXFJY5AJ5AQDHBRTSSOEKL5Q4
bbawpyramidentexte:〈C〉//PT 631	BOGRX6PCFFFNJGJ3JBFBENDMOI
bbawpyramidentexte:〈C〉//PT 632	NWRCW7BKWJHTJGACKAE6MILJ7Y
bbawpyramidentexte:〈C〉//PT 633	2AOXAL5RD5C5LMFW5QFYAAYHKY
bbawpyramidentexte:〈Deckel〉//PT 1	DSRICIF5FZABZG4NN32WSZY2LM
bbawpyramidentexte:〈Deckel〉//PT 2	WKRK675TU5EAXEW6R4VI36XH44
bbawpyramidentexte:〈D〉//PT P/F/Sw D 1-3	BGDQVKM4WBAVPC7RU4PRYZQ2CI
bbawpyramidentexte:〈Fläche rechts neben dem Sarkophag〉//PT 455	PSVDRB6UMNEW7PUV2MOQAEYCZM
bbawpyramidentexte:〈Fläche über und links neben dem Sarkophag〉//PT 335	NS75QGUXVRD7FM3WBLT2I56ORY
